     78.12 1.759789e+03 6.816633e+02 1.407369e+03 1.563200e-02
    117.19 1.720085e+03 7.065473e+02 1.429128e+03 2.309100e-02
    156.25 1.820499e+03 7.635045e+02 1.542020e+03 2.853400e-02
    195.31 1.842571e+03 7.875256e+02 1.578645e+03 3.484000e-02
    292.97 1.873267e+03 7.802747e+02 1.614987e+03 5.108400e-02
    390.62 1.868111e+03 7.603984e+02 1.613637e+03 6.816900e-02
    781.25 1.856734e+03 7.535795e+02 1.619695e+03 1.358280e-01
   1562.50 1.846330e+03 7.208636e+02 1.606039e+03 2.739660e-01
   3125.00 1.861877e+03 5.261220e+02 1.504698e+03 5.848350e-01
   7812.50 1.670686e+03 3.206747e+02 1.203710e+03 1.827682e+00
  15625.00 1.730446e+03 3.390868e+02 1.257886e+03 3.497933e+00
  31250.00 1.585194e+03 3.037489e+02 1.144563e+03 7.688523e+00
