     78.12 1.669588e+03 6.585446e+02 1.344415e+03 1.636400e-02
    117.19 1.784652e+03 7.309942e+02 1.482280e+03 2.226300e-02
    156.25 1.834273e+03 7.705644e+02 1.557026e+03 2.825900e-02
    195.31 1.853225e+03 7.911392e+02 1.590193e+03 3.458700e-02
    292.97 1.844429e+03 8.136255e+02 1.611580e+03 5.119200e-02
    390.62 1.866786e+03 8.331945e+02 1.643680e+03 6.692300e-02
    781.25 1.797672e+03 8.156607e+02 1.600757e+03 1.374350e-01
   1562.50 1.886179e+03 8.650893e+02 1.693461e+03 2.598230e-01
   3125.00 1.858360e+03 8.471705e+02 1.670809e+03 5.266910e-01
   7812.50 1.795959e+03 8.316562e+02 1.620186e+03 1.357869e+00
  15625.00 1.626639e+03 7.241261e+02 1.458246e+03 3.017323e+00
  31250.00 1.798853e+03 8.492362e+02 1.630946e+03 5.395640e+00
