200 7.81 1.211387e+03 2.475248e+02 6.045617e+02 3.639000e-03
500 19.53 1.562988e+03 4.325260e+02 9.956553e+02 5.524000e-03
1000 39.06 1.610047e+03 5.414185e+02 1.159115e+03 9.490000e-03
5000 195.31 1.738768e+03 7.421701e+02 1.489546e+03 3.692400e-02
10000 390.62 1.835974e+03 7.341066e+02 1.580710e+03 6.958900e-02
100000 3906.25 1.853627e+03 4.885389e+02 1.469372e+03 7.486190e-01
500000 19531.25 1.695796e+03 3.299775e+02 1.230250e+03 4.470636e+00
1000000 39062.50 1.777419e+03 3.518853e+02 1.297996e+03 8.474602e+00
1500000 58593.75 1.699799e+03 3.324839e+02 1.236537e+03 1.334372e+01
3000000 117187.50 1.727451e+03 3.351845e+02 1.253569e+03 2.632484e+01
